Pick #,Player Name,Position,Team,Winning Bid Amount,Notes
318,Alex Smith,QB,Phinatics,$2,
319,Tim Hightower,RB,GoodFellas,$2,
320,Louis Murphy,WR,The Great Chewbaccas,$4,
321,Michael Huff,DB,GoodFellas,$4,
322,Deji Karim,RB,Team Thompson,$2,
323,Laurent Robinson,WR,Team Thompson,$4,
324,J.J. Watt,DL,GoodFellas,$3,
325,Nate Washington,WR,The Great Chewbaccas,$1,
326,Brandon Flowers,DB,He Hate Me,$4,
327,Johnny White,RB,Team Christman,$1,
328,Dwayne Harris,WR,Pestilence,$5,
329,Austin Pettis,WR,He Hate Me,$1,
330,Reggie Bush,RB,Pestilence,$2,
331,Kyle Williams,DL,GoodFellas,$4,
332,Julius Thomas,TE,Pillshovlers,$1,
333,Ricky Stanzi,QB,GoodFellas,$1,
334,Lee Evans,WR,The Great Chewbaccas,$1,
335,Chester Taylor,RB,Phinatics,$1,
336,Mark Clayton,WR,Phinatics,$2,
337,Tamba Hali,LB,Pestilence,$4,
338,Kendall Hunter,RB,GoodFellas,$7,
339,Kerry Rhodes,DB,Pestilence,$3,
340,Kevin Walter,WR,Team Thompson,$1,
341,Anthony Fasano,TE,Pillshovlers,$5,
342,Curtis Brown,DB,GoodFellas,$1,
343,Quintin Mikell,DB,The Great Chewbaccas,$1,
344,Roman Harper,DB,Phinatics,$3,
345,Ed Dickson,TE,He Hate Me,$3,
346,Lance Briggs,LB,Ghost of Derrick Thomas,$3,
347,Jimmy Clausen,QB,He Hate Me,$1,
348,John Skelton,QB,Pestilence,$3,Dropped due team being over $350 limit.
349,Jeff Reed,K,Team Thompson,$1,
350,T.J. Houshmandzadeh,WR,GoodFellas,$1,
351,Jabar Gaffney,WR,The Great Chewbaccas,$1,
352,Jason Snelling,RB,Phinatics,$1,
353,Anthony Dixon,RB,GoodFellas,$2,
354,Robert Quinn,TE,Ghost of Derrick Thomas,$1,
355,Toby Gerhart,RB,He Hate Me,$3,
356,Josh Morgan,WR,Team Thompson,$1,
357,Thomas Jones,RB,GoodFellas,$1,
358,Brandon Jackson,RB,The Great Chewbaccas,$1,
359,Dwight Freeney,DL,Phinatics,$3,
360,Travis Beckum,TE,Team christman,$1,
361,Ben Obomanu,WR,He Hate Me,$1,
362,Brent Grimes,DB,Team Thompson,$1,
363,Chris Ivory,RB,GoodFellas,$3,
364,D.J. Williams,LB,GoodFellas,$4,
365,E.J. Henderson,LB,He Hate Me,$3,
366,David Gettis,WR,He Hate Me,$2,
367,DeMarco Murray,RB,He Hate Me,$3,
368,David Akers,K,Team Thompson,$1,
369,Davon House,DB,GoodFellas,$1,
370,Bo Scaife,TE,The Great Chewbaccas,$1,
371,Geno Hayes,LB,Phinatics,$1,
372,Brandon Tate,WR,Team Christman,$3,
373,Connor Barth,K,He Hate Me,$1,
374,Willis McGahee,RB,Team Thompson,$1,
375,Karlos Dansby,LB,GoodFellas,$1,
376,Javon Ringer,RB,GoodFellas,$3,
377,Brandon Spikes,LB,Phinatics,$1,Dropped due team being over $350 limit.
378,Brandon LaFell,WR,Team christman,$1,
379,Richard Seymour,DL,He Hate Me,$1,
380,Charlie Whitehurst,QB,Team Thompson,$1,
381,Deon Butler,WR,GoodFellas,$1,
382,Lawrence Tynes,K,The Great Chewbaccas,$1,
383,Vontae Davis,DB,Phinatics,$1,Dropped due team being over $350 limit.
384,Eric Decker,WR,Team Christman,$1,
385,Justin Forsett,RB,He Hate Me,$3,
386,Bradley Fletcher,DB,Team Thompson,$1,
387,Derrick Williams,WR,GoodFellas,$1,
388,Joe Webb,QB,The Great Chewbaccas,$1,
389,John Beck,QB,Team Christman,$1,
390,Noel Devine,RB,He Hate Me,$1,
391,Lazarius Levingston,DL,Team Thompson,$1,
392,Nate Burleson,WR,The Great Chewbaccas,$1,
393,Keiland Williams,RB,Team Christman,$1,
394,Jonathan Goff,LB,He Hate Me,$1,
395,Jimmy Smith,DB,Team Thompson,$1,
396,Eric Weddle,DB,The Great Chewbaccas,$1,
397,Damian Williams,WR,Team Christman,$1,
398,Tyson Alualu,DL,He Hate Me,$1,
399,Jaiquawn Jarrett,DB,Team Thompson,$1,
400,James Anderson,LB,The Great Chewbaccas,$1,
401,Legedu Naanee,WR,Team Thompson,$2,
402,Adrian Wilson,DB,He Hate Me,$1,
403,Stephen Paea,DL,Team Thompson,$1,
404,Marion Barber,RB,The Great Chewbaccas,$1,
405,Mike Sims-Walker,WR,Team Christman,$1,
406,Bilal Powell,RB,He Hate Me,$1,
407,Scotty McKnight,WR,Team Thompson,$1,
408,Stevan Ridley,RB,He Hate Me,$2,
409,Alex Green,RB,He Hate Me,$3,
410,Jeremy Kerley,WR,Team Thompson,$1,
411,Donnie Avery,WR,Team Thompson,$2,
412,Blair White,WR,Team Christman,$2,
413,Carnell Williams,RB,Team Christman,$1,
414,Virgil Green,TE,Team Thompson,$1,
415,Ahtyba Rubin,DL,The Great Chewbaccas,$1,
416,Brian Hartline,WR,Team Christman,$1,
417,Kenyon Coleman,DL,Team Thompson,$1,
418,Cortland Finnegan,DB,Team Christman,$1,
419,Curtis Lofton,LB,Team Christman,$1,
420,Tyvon Branch,DB,Team Thompson,$1,
421,Javarris James,RB,Team Christman,$1,
422,Jamie Harper,RB,Team Christman,$1,
423,Brandon Gibson,WR,Team Thompson,$1,
424,Vincent Brown,WR,Team Thompson,$2,
425,Glenn Dorsey,DL,Team Christman,$1,
426,Clint Session,LB,Team Christman,$1,
427,Tony Scheffler,TE,Team Christman,$1,
428,Early Doucet,WR,Team Christman,$1,
429,Joe McKnight,RB,Team Christman,$1,
